1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.194536	0.000000	4500.454913	0.015349	837.3
1	-0.150748	0.000000	4500.454913	0.032412	0.9
2	0.068233	1.000000	4295.888780	0.002917	0.8
3	-0.042424	1.999967	4109.116978	0.020185	0.9
4	-0.201293	1.222395	4252.896739	0.005054	1.0
5	-0.118170	0.444025	4407.267449	0.013074	1.0
6	0.064872	0.000000	4500.454913	0.007347	0.9
7	0.117230	0.000000	4500.454913	0.010018	0.8
8	-0.058844	0.000000	4500.454913	0.006400	0.8
9	0.058813	0.999669	4295.953369	0.000292	0.8
10	0.059683	0.946931	4306.276520	0.011998	0.9
11	-0.196985	1.109885	4274.538365	0.016275	0.8
12	0.056536	0.331514	4430.513164	0.007725	0.7
13	-0.039414	1.331513	4232.115931	0.019059	0.7
14	0.080523	0.553142	4384.954817	0.010348	0.8
15	-0.123299	1.553142	4190.527147	0.012820	0.8
16	-0.188042	0.774770	4340.323748	0.033344	0.9
17	0.090386	1.774770	4149.747788	0.006130	0.9
18	0.012114	0.996399	4296.592059	0.003879	0.9
19	-0.036823	0.311471	4434.679930	0.012276	0.9
20	-0.070235	0.000000	4500.454913	0.006470	1.0
21	-0.097158	0.999916	4295.905203	0.006049	0.9
22	-0.089049	1.990382	4110.830120	0.012646	1.2
23	-0.129995	2.990330	3939.485316	0.018713	1.0
24	-0.049618	3.990330	3781.844929	0.022159	1.0
25	0.104726	4.990330	3636.335237	0.009330	0.9
26	-0.044643	5.990330	3501.607902	0.000329	0.9
27	-0.170254	6.078440	3490.214165	0.020783	1.0
28	0.147835	5.874648	3516.680607	0.006143	0.9
29	0.049702	6.874648	3390.520076	0.004116	0.9
30	0.069119	7.809847	3280.460081	0.005736	0.8
31	0.069646	8.670611	3185.291828	0.009458	0.9
32	-0.130347	7.893300	3270.985133	0.030030	1.0
33	-0.162075	7.114928	3361.543480	0.007341	1.0
34	-0.098430	6.336557	3457.258880	0.016772	0.9
35	-0.073226	5.558185	3558.584755	0.011977	0.8
36	-0.076220	4.779814	3666.029315	0.012135	0.8
37	-0.021484	4.001442	3780.164030	0.007411	0.8
38	-0.043134	5.001222	3634.811972	0.022522	0.8
39	-0.033168	4.222851	3746.981359	0.002329	0.9
40	0.019093	3.471852	3861.969719	0.032742	0.8
41	-0.020314	4.467566	3710.977082	0.022155	0.7
42	0.142902	3.689194	3827.972337	0.052559	0.7
